,Customers,Values
883,10 customer(s),0.0
884,10 customer(s),0.0
885,10 customer(s),0.01
886,10 customer(s),0.01
887,10 customer(s),0.01
888,10 customer(s),0.0
889,10 customer(s),0.01
890,10 customer(s),0.0
891,10 customer(s),0.0
892,10 customer(s),0.01
893,10 customer(s),0.0
894,10 customer(s),0.0
895,10 customer(s),0.01
896,10 customer(s),0.01
897,10 customer(s),0.01
898,10 customer(s),0.01
899,10 customer(s),0.01
900,10 customer(s),0.01
901,10 customer(s),0.01
902,10 customer(s),0.01
903,10 customer(s),0.0
904,10 customer(s),0.0
905,10 customer(s),0.0
906,10 customer(s),0.01
907,10 customer(s),0.01
908,10 customer(s),0.01
909,10 customer(s),0.01
910,10 customer(s),0.01
911,10 customer(s),0.01
912,10 customer(s),0.0
913,10 customer(s),0.01
914,10 customer(s),0.01
915,10 customer(s),0.01
916,10 customer(s),0.0
917,10 customer(s),0.01
918,10 customer(s),0.0
919,10 customer(s),0.01
920,10 customer(s),0.01
921,10 customer(s),0.0
922,10 customer(s),0.01
923,10 customer(s),0.01
924,10 customer(s),0.0
925,10 customer(s),0.01
926,10 customer(s),0.01
927,10 customer(s),0.01
928,10 customer(s),0.01
929,10 customer(s),0.0
930,10 customer(s),0.01
931,10 customer(s),0.01
932,10 customer(s),0.01
933,10 customer(s),0.0
934,10 customer(s),0.0
935,10 customer(s),0.01
936,10 customer(s),0.01
937,10 customer(s),0.01
938,10 customer(s),0.0
939,10 customer(s),0.01
940,10 customer(s),0.0
941,10 customer(s),0.0
942,10 customer(s),0.01
943,10 customer(s),0.0
944,10 customer(s),0.0
945,10 customer(s),0.01
946,10 customer(s),0.01
947,10 customer(s),0.01
948,10 customer(s),0.01
949,10 customer(s),0.01
950,10 customer(s),0.01
951,10 customer(s),0.01
952,10 customer(s),0.01
953,10 customer(s),0.0
954,10 customer(s),0.0
955,10 customer(s),0.0
956,10 customer(s),0.01
957,10 customer(s),0.01
958,10 customer(s),0.01
959,10 customer(s),0.01
960,10 customer(s),0.01
961,10 customer(s),0.01
962,10 customer(s),0.0
963,10 customer(s),0.01
964,10 customer(s),0.01
965,10 customer(s),0.01
966,10 customer(s),0.0
967,10 customer(s),0.01
968,10 customer(s),0.0
969,10 customer(s),0.01
970,10 customer(s),0.01
971,10 customer(s),0.0
972,10 customer(s),0.01
973,10 customer(s),0.01
974,10 customer(s),0.0
975,10 customer(s),0.01
976,10 customer(s),0.01
977,10 customer(s),0.01
978,10 customer(s),0.01
979,10 customer(s),0.0
980,10 customer(s),0.01
981,10 customer(s),0.01
982,10 customer(s),0.01
983,10 customer(s),0.0
984,10 customer(s),0.0
985,10 customer(s),0.01
986,10 customer(s),0.01
987,10 customer(s),0.01
988,10 customer(s),0.0
989,10 customer(s),0.01
990,10 customer(s),0.0
991,10 customer(s),0.0
992,10 customer(s),0.01
993,10 customer(s),0.0
994,10 customer(s),0.0
995,10 customer(s),0.01
996,10 customer(s),0.01
997,10 customer(s),0.01
998,10 customer(s),0.01
999,10 customer(s),0.01
